#coord1    coord2    Free Energy    +/-    Probability    +/-
-3.110177    	-3.110177    10.417544    0.000000    0.000094    0.000000
-3.047345    	-3.110177    8.932218    0.000000    0.000171    0.000000
-2.984513    	-3.110177    7.564676    0.000000    0.000296    0.000000
-2.921681    	-3.110177    6.241112    0.000000    0.000502    0.000000
-2.858849    	-3.110177    5.134748    0.000000    0.000783    0.000000
-2.796017    	-3.110177    3.588017    0.000000    0.001455    0.000000
-2.733186    	-3.110177    3.114393    0.000000    0.001760    0.000000
-2.670354    	-3.110177    2.920580    0.000000    0.001902    0.000000
-2.607522    	-3.110177    2.665399    0.000000    0.002107    0.000000
-2.544690    	-3.110177    2.888399    0.000000    0.001926    0.000000
-2.481858    	-3.110177    3.179371    0.000000    0.001714    0.000000
-2.419026    	-3.110177    3.698250    0.000000    0.001392    0.000000
-2.356194    	-3.110177    4.376762    0.000000    0.001061    0.000000
-2.293363    	-3.110177    4.515009    0.000000    0.001004    0.000000
-2.230531    	-3.110177    4.752854    0.000000    0.000912    0.000000
-2.167699    	-3.110177    6.371078    0.000000    0.000477    0.000000
-2.104867    	-3.110177    6.419208    0.000000    0.000468    0.000000
-2.042035    	-3.110177    6.689531    0.000000    0.000420    0.000000
-1.979203    	-3.110177    7.449149    0.000000    0.000310    0.000000
-1.916372    	-3.110177    7.982454    0.000000    0.000250    0.000000
-1.853540    	-3.110177    8.087161    0.000000    0.000240    0.000000
-1.790708    	-3.110177    8.999718    0.000000    0.000166    0.000000
-1.727876    	-3.110177    9.971028    0.000000    0.000113    0.000000
-1.665044    	-3.110177    10.135764    0.000000    0.000105    0.000000
-1.602212    	-3.110177    11.072167    0.000000    0.000072    0.000000
-1.539380    	-3.110177    11.690674    0.000000    0.000057    0.000000
-1.476549    	-3.110177    12.895010    0.000000    0.000035    0.000000
-1.413717    	-3.110177    14.047712    0.000000    0.000022    0.000000
-1.350885    	-3.110177    16.031170    0.000000    0.000010    0.000000
-1.288053    	-3.110177    18.130008    0.000000    0.000004    0.000000
-1.225221    	-3.110177    20.369487    0.000000    0.000002    0.000000
-1.162389    	-3.110177    23.112605    0.000000    0.000001    0.000000
-1.099557    	-3.110177    25.616713    0.000000    0.000000    0.000000
-1.036726    	-3.110177    29.411035    0.000000    0.000000    0.000000
-0.973894    	-3.110177    32.357848    0.000000    0.000000    0.000000
