#coord1    Free Energy    +/-    Probability    +/-
-3.110177    7.158102    0.047604    0.003494    0.000067
-3.047345    5.365727    0.047074    0.007168    0.000135
-2.984513    3.873190    0.043312    0.013039    0.000226
-2.921681    2.953162    0.044141    0.018855    0.000334
-2.858849    1.949554    0.044355    0.028195    0.000501
-2.796017    1.391747    0.040740    0.035261    0.000576
-2.733186    1.128270    0.038079    0.039189    0.000598
-2.670354    0.839970    0.037001    0.043991    0.000653
-2.607522    0.624769    0.038108    0.047955    0.000733
-2.544690    0.663757    0.038908    0.047211    0.000736
-2.481858    1.051932    0.038000    0.040407    0.000616
-2.419026    1.463048    0.039491    0.034267    0.000543
-2.356194    1.990616    0.033514    0.027734    0.000373
-2.293363    2.190692    0.019650    0.025597    0.000202
-2.230531    2.553036    0.017705    0.022136    0.000157
-2.167699    2.572522    0.020880    0.021964    0.000184
-2.104867    2.472360    0.016893    0.022863    0.000155
-2.042035    2.517562    0.016677    0.022453    0.000150
-1.979203    2.469778    0.018231    0.022887    0.000167
-1.916372    2.223125    0.040529    0.025266    0.000411
-1.853540    2.080157    0.034038    0.026756    0.000365
-1.790708    1.793841    0.039497    0.030011    0.000475
-1.727876    1.458784    0.033596    0.034326    0.000462
-1.665044    0.914441    0.033672    0.042697    0.000576
-1.602212    0.303813    0.032070    0.054540    0.000701
-1.539380    0.268335    0.033050    0.055321    0.000733
-1.476549    0.000000    0.033814    0.061604    0.000835
-1.413717    0.537061    0.036922    0.049671    0.000735
-1.350885    1.439940    0.038101    0.034586    0.000528
-1.288053    2.391838    0.040731    0.023614    0.000386
-1.225221    3.779470    0.041363    0.013538    0.000224
-1.162389    5.685555    0.043248    0.006305    0.000109
-1.099557    7.661896    0.044699    0.002855    0.000051
-1.036726    9.946594    0.048999    0.001142    0.000022
-0.973894    12.359408    0.054485    0.000434    0.000009
-0.911062    14.954655    0.062237    0.000153    0.000004
-0.848230    17.742242    0.074723    0.000050    0.000002
-0.785398    20.555785    0.092177    0.000016    0.000001
-0.722566    22.811160    0.117934    0.000007    0.000000
-0.659734    25.178094    0.148438    0.000003    0.000000
-0.596903    26.442288    0.156506    0.000002    0.000000
-0.534071    27.897565    0.141823    0.000001    0.000000
-0.471239    29.062473    0.124674    0.000001    0.000000
-0.408407    30.384521    0.123166    0.000000    0.000000
-0.345575    31.638454    0.120930    0.000000    0.000000
-0.282743    32.817727    0.129164    0.000000    0.000000
-0.219911    33.770369    0.132336    0.000000    0.000000
-0.157080    34.505503    0.139645    0.000000    0.000000
-0.094248    35.431659    0.166255    0.000000    0.000000
-0.031416    35.615810    0.176652    0.000000    0.000000
0.031416    35.561946    0.179960    0.000000    0.000000
0.094248    35.382089    0.137476    0.000000    0.000000
0.157080    34.934827    0.165967    0.000000    0.000000
0.219911    33.673460    0.131745    0.000000    0.000000
0.282743    32.731563    0.119197    0.000000    0.000000
0.345575    31.261855    0.119983    0.000000    0.000000
0.408407    29.717377    0.133990    0.000000    0.000000
0.471239    28.076620    0.130346    0.000001    0.000000
0.534071    26.481097    0.128146    0.000002    0.000000
0.596903    24.487358    0.125114    0.000003    0.000000
0.659734    22.344251    0.123397    0.000008    0.000000
0.722566    20.241543    0.125183    0.000018    0.000001
0.785398    18.341869    0.124168    0.000039    0.000002
0.848230    16.261582    0.128116    0.000091    0.000005
0.911062    14.301801    0.129443    0.000199    0.000010
0.973894    12.603788    0.127007    0.000394    0.000020
1.036726    11.249601    0.127336    0.000678    0.000035
1.099557    10.087886    0.128080    0.001079    0.000055
1.162389    9.443303    0.126698    0.001398    0.000071
1.225221    9.152799    0.125501    0.001570    0.000079
1.288053    9.331937    0.125682    0.001462    0.000074
1.350885    9.905546    0.125124    0.001161    0.000058
1.413717    11.042050    0.126382    0.000736    0.000037
1.476549    12.598167    0.127533    0.000395    0.000020
1.539380    14.520167    0.128074    0.000183    0.000009
1.602212    16.569783    0.129538    0.000080    0.000004
1.665044    18.687390    0.130952    0.000034    0.000002
1.727876    20.775408    0.135641    0.000015    0.000001
1.790708    22.905200    0.130857    0.000006    0.000000
1.853540    24.643852    0.142587    0.000003    0.000000
1.916372    26.301740    0.136214    0.000002    0.000000
1.979203    27.372071    0.139172    0.000001    0.000000
2.042035    28.697726    0.150468    0.000001    0.000000
2.104867    29.417901    0.136902    0.000000    0.000000
2.167699    30.008351    0.140908    0.000000    0.000000
2.230531    30.406016    0.124013    0.000000    0.000000
2.293363    30.171275    0.117944    0.000000    0.000000
2.356194    29.884646    0.121937    0.000000    0.000000
2.419026    29.428153    0.117728    0.000000    0.000000
2.481858    28.546982    0.135106    0.000001    0.000000
2.544690    27.757520    0.123869    0.000001    0.000000
2.607522    26.505787    0.130843    0.000001    0.000000
2.670354    24.491866    0.103966    0.000003    0.000000
2.733186    22.320664    0.092789    0.000008    0.000000
2.796017    20.052723    0.089448    0.000020    0.000001
2.858849    17.655650    0.089358    0.000052    0.000002
2.921681    15.471590    0.093090    0.000125    0.000005
2.984513    13.138167    0.083703    0.000318    0.000011
3.047345    11.092386    0.067479    0.000722    0.000020
3.110177    9.065722    0.052123    0.001626    0.000034
